Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001045,Male,No,1,Graduate,No,1863,0.0,71.0,360.0,1.0,Rural,N
LP001046,Male,Yes,0,Graduate,No,2557,0.0,274.0,360.0,,Semiurban,N
LP001047,Male,No,0,Graduate,No,2434,2735.0,600.0,360.0,1.0,Rural,N
LP001048,Male,No,3+,Not Graduate,Yes,5035,1644.0,522.0,180.0,1.0,Urban,N
LP001049,Male,Yes,1,Graduate,No,4635,0.0,600.0,360.0,,Semiurban,N
LP001050,Female,Yes,2,Graduate,No,2884,1156.0,463.0,360.0,1.0,Urban,Y
LP001051,Male,Yes,0,Not Graduate,No,4944,1602.0,600.0,360.0,1.0,Semiurban,N
LP001052,Female,Yes,0,Not Graduate,No,3203,0.0,374.0,360.0,1.0,Urban,N
LP001053,Female,No,0,Not Graduate,No,3778,1298.0,217.0,360.0,0.0,Rural,N
LP001054,Male,Yes,1,Not Graduate,No,12137,0.0,600.0,360.0,1.0,Urban,N
LP001055,Female,Yes,0,Graduate,Yes,9939,0.0,475.0,360.0,1.0,Rural,N
LP001056,Male,Yes,0,Graduate,No,2039,1527.0,533.0,360.0,1.0,Semiurban,N
LP001057,Male,Yes,0,Graduate,No,7316,1000.0,600.0,360.0,1.0,Rural,N
LP001058,Male,Yes,0,Not Graduate,No,7236,0.0,600.0,360.0,0.0,Semiurban,N
LP001059,Male,Yes,1,Graduate,No,2232,1000.0,216.0,360.0,1.0,Rural,Y
LP001060,Male,Yes,0,Graduate,No,7268,2661.0,456.0,360.0,1.0,Urban,Y
LP001061,Male,No,2,Graduate,No,11189,0.0,600.0,360.0,0.0,Rural,N
LP001062,Female,Yes,0,Graduate,No,2267,0.0,189.0,180.0,1.0,Rural,N
LP001063,Male,Yes,0,Graduate,No,2564,3400.0,343.0,480.0,1.0,Urban,Y
LP001064,Male,Yes,0,Not Graduate,No,8189,0.0,600.0,60.0,1.0,Urban,N
LP001065,Male,Yes,0,Not Graduate,No,5233,1000.0,173.0,360.0,1.0,Semiurban,Y
LP001066,Male,Yes,0,Graduate,No,6191,1191.0,506.0,360.0,1.0,Rural,Y
LP001067,Female,Yes,,Graduate,Yes,5455,1424.0,590.0,360.0,0.0,Semiurban,N
LP001068,Male,Yes,1,Graduate,No,5621,0.0,251.0,360.0,1.0,Semiurban,Y
LP001069,Female,Yes,0,Graduate,No,2006,1086.0,479.0,360.0,1.0,Urban,N
LP001070,Male,Yes,1,Not Graduate,No,8336,0.0,442.0,360.0,1.0,Urban,Y
LP001071,Male,No,2,Graduate,No,8971,0.0,353.0,12.0,1.0,Rural,N
LP001072,Male,Yes,2,Graduate,No,3875,0.0,188.0,180.0,1.0,Urban,N
LP001073,Female,Yes,0,Not Graduate,No,4332,0.0,558.0,360.0,1.0,Semiurban,N
LP001074,Male,Yes,0,Graduate,No,1774,1216.0,260.0,360.0,0.0,Rural,N
LP001075,Male,No,0,Graduate,No,6054,1302.0,600.0,360.0,1.0,Urban,N
LP001076,Male,Yes,0,Graduate,Yes,6268,0.0,142.0,360.0,1.0,Semiurban,Y
LP001077,Male,Yes,3+,Graduate,No,4284,1073.0,139.0,360.0,1.0,Urban,Y
LP001078,Male,No,0,Graduate,Yes,8730,0.0,600.0,360.0,0.0,Semiurban,N
LP001079,Male,No,0,Graduate,No,3639,4727.0,600.0,360.0,1.0,Urban,Y
LP001080,Female,No,1,Graduate,No,6240,0.0,600.0,360.0,1.0,Rural,N
LP001081,Male,Yes,1,Not Graduate,No,2411,1438.0,146.0,360.0,1.0,Urban,Y
LP001082,Male,,0,Graduate,No,4384,1326.0,557.0,360.0,0.0,Semiurban,N
LP001083,Male,No,0,Graduate,No,4005,1195.0,600.0,180.0,1.0,Semiurban,N
LP001084,Male,No,0,Graduate,No,5090,0.0,388.0,360.0,1.0,Urban,Y
LP001085,Male,Yes,0,Graduate,No,3562,0.0,506.0,360.0,1.0,Rural,N
LP001086,Male,Yes,0,Graduate,,4109,1521.0,225.0,300.0,1.0,Urban,Y
LP001087,Male,Yes,0,Graduate,No,7299,0.0,600.0,360.0,1.0,Semiurban,Y
LP001088,Female,No,0,Graduate,No,3421,0.0,453.0,360.0,1.0,Urban,N
LP001089,Male,Yes,0,Not Graduate,No,1696,0.0,281.0,360.0,1.0,Semiurban,N
LP001090,Male,Yes,0,Graduate,No,12704,1796.0,600.0,360.0,0.0,Urban,N
LP001091,Male,Yes,0,Graduate,No,10187,1427.0,600.0,12.0,0.0,Semiurban,N
LP001092,Male,Yes,0,Not Graduate,No,2048,1998.0,600.0,360.0,,Urban,N
LP001093,Male,Yes,1,Graduate,No,6726,0.0,406.0,360.0,1.0,Rural,Y
LP001094,Male,Yes,2,Graduate,No,3288,0.0,236.0,360.0,1.0,Urban,Y
LP001095,Male,Yes,0,Graduate,No,5208,1000.0,600.0,180.0,,Rural,N
LP001096,Male,Yes,0,Graduate,No,5305,4134.0,600.0,360.0,1.0,Rural,Y
LP001097,Male,Yes,0,Graduate,No,3863,0.0,,360.0,1.0,Urban,N
LP001098,Male,Yes,1,Graduate,No,2778,1921.0,234.0,360.0,1.0,Semiurban,Y
LP001099,Male,Yes,,Not Graduate,,2938,0.0,416.0,360.0,1.0,Urban,N
LP001100,Male,Yes,0,Graduate,No,2566,1000.0,456.0,360.0,1.0,Semiurban,N
LP001101,Male,Yes,3+,Graduate,No,2699,0.0,107.0,360.0,1.0,Rural,N
LP001102,Male,Yes,0,Graduate,No,4271,3189.0,560.0,360.0,1.0,Semiurban,Y
LP001103,Male,Yes,0,Graduate,No,2894,1000.0,256.0,360.0,1.0,Semiurban,Y
LP001104,Female,Yes,1,Graduate,No,6695,2001.0,579.0,360.0,0.0,Urban,N
LP001105,Male,No,2,Graduate,Yes,10854,0.0,600.0,360.0,1.0,Semiurban,Y
LP001106,Male,Yes,1,Not Graduate,No,3139,1000.0,448.0,360.0,1.0,Urban,N
LP001107,Male,No,2,Graduate,No,5134,0.0,600.0,360.0,1.0,Rural,N
LP001108,Male,Yes,0,Graduate,No,6001,0.0,600.0,360.0,1.0,Semiurban,Y
LP001109,Male,No,2,Graduate,No,5902,1000.0,519.0,12.0,0.0,Semiurban,N
LP001110,Male,No,0,Graduate,Yes,4654,1314.0,600.0,180.0,1.0,Urban,N
LP001111,Male,Yes,2,Not Graduate,No,6943,5119.0,600.0,360.0,1.0,Urban,N
LP001112,Female,Yes,0,Not Graduate,No,5939,1000.0,600.0,180.0,1.0,Semiurban,N
LP001113,Female,Yes,2,Graduate,No,2116,0.0,75.0,360.0,1.0,Urban,N
LP001114,Male,Yes,0,Graduate,,7491,0.0,600.0,360.0,0.0,Semiurban,N
LP001115,Female,No,1,Graduate,,7573,0.0,385.0,360.0,1.0,Rural,N
LP001116,Female,,0,Not Graduate,Yes,2813,1391.0,286.0,360.0,1.0,Rural,N
LP001117,Male,No,1,Graduate,No,4549,1000.0,600.0,360.0,1.0,Semiurban,N
LP001118,Female,Yes,0,Graduate,No,6700,5205.0,600.0,360.0,1.0,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3922,0.0,379.0,360.0,1.0,Urban,Y
LP001120,Female,No,0,Graduate,No,8465,0.0,600.0,360.0,1.0,Rural,Y
LP001121,Female,Yes,0,Graduate,Yes,18367,1000.0,600.0,180.0,1.0,Urban,Y
LP001122,Male,Yes,2,Graduate,No,2775,0.0,147.0,360.0,1.0,Rural,N
LP001123,Male,No,0,Graduate,No,1941,1344.0,128.0,,0.0,Semiurban,N
LP001124,Male,Yes,3+,Not Graduate,No,5336,1805.0,439.0,360.0,1.0,Semiurban,Y
LP001125,Male,No,0,Graduate,No,6856,3535.0,600.0,120.0,1.0,Rural,N
LP001126,Female,Yes,0,Graduate,No,3871,0.0,183.0,360.0,,Urban,Y
LP001127,Female,No,2,Graduate,No,10635,0.0,600.0,360.0,1.0,Semiurban,Y
LP001128,Male,Yes,1,Graduate,Yes,1991,0.0,151.0,360.0,1.0,Semiurban,N
LP001129,Male,Yes,0,Graduate,No,6739,0.0,187.0,360.0,,Urban,Y
LP001130,Male,Yes,0,Graduate,No,3091,0.0,340.0,360.0,1.0,Semiurban,Y
LP001131,Male,No,1,Graduate,No,12476,3568.0,600.0,360.0,1.0,Semiurban,Y
LP001132,Male,No,0,Graduate,No,14698,1000.0,600.0,,1.0,Rural,Y
LP001133,Male,Yes,3+,Graduate,Yes,2807,0.0,292.0,360.0,1.0,Urban,N
LP001134,Female,Yes,3+,Graduate,No,3197,0.0,377.0,180.0,1.0,Rural,N
LP001135,Male,No,1,Not Graduate,No,7448,0.0,600.0,360.0,1.0,Urban,N
LP001136,Male,Yes,0,Graduate,No,3525,0.0,416.0,360.0,0.0,Urban,N
LP001137,Male,No,1,Not Graduate,No,4327,6680.0,600.0,360.0,0.0,Urban,N
LP001138,Male,Yes,0,Graduate,No,4515,0.0,427.0,360.0,1.0,Urban,Y
LP001139,Female,Yes,0,Graduate,No,1500,0.0,23.0,360.0,1.0,Urban,N
LP001140,Female,Yes,,Graduate,No,4410,0.0,495.0,360.0,1.0,Rural,N
LP001141,Male,Yes,0,Graduate,No,2939,1593.0,477.0,360.0,1.0,Urban,Y
LP001142,Male,No,2,Not Graduate,No,3308,1383.0,,360.0,0.0,Urban,N
LP001143,Male,Yes,1,Graduate,No,10574,0.0,600.0,180.0,1.0,Urban,N
LP001144,Male,Yes,2,Not Graduate,Yes,2092,1702.0,600.0,240.0,1.0,Rural,N
LP001145,Male,No,0,Graduate,No,7243,1000.0,600.0,360.0,1.0,Rural,N
LP001146,Male,Yes,0,Graduate,Yes,3761,1000.0,449.0,360.0,1.0,Urban,N
LP001147,Male,Yes,0,Graduate,No,3759,0.0,588.0,360.0,1.0,Urban,N
LP001148,Male,No,3+,Graduate,No,7145,2630.0,600.0,360.0,1.0,Urban,N
LP001149,Male,Yes,0,Graduate,Yes,5453,1526.0,600.0,360.0,1.0,Urban,N
LP001150,Female,Yes,2,Graduate,No,6262,1698.0,600.0,360.0,1.0,Urban,N
LP001151,Male,No,1,Graduate,Yes,7949,2820.0,600.0,84.0,1.0,Semiurban,N
LP001152,Male,Yes,0,Graduate,No,3645,1693.0,454.0,180.0,1.0,Urban,N
LP001153,Male,Yes,1,Graduate,No,3079,0.0,285.0,360.0,1.0,Semiurban,Y
LP001154,Female,Yes,0,Not Graduate,Yes,2319,1238.0,274.0,360.0,1.0,Urban,N
LP001155,,No,2,Not Graduate,No,2710,3252.0,600.0,360.0,1.0,Rural,N
LP001156,Male,Yes,3+,Graduate,No,26093,1794.0,600.0,360.0,0.0,Rural,N
LP001157,Male,Yes,0,Graduate,No,9384,0.0,339.0,360.0,0.0,Semiurban,N
LP001158,Male,No,0,Graduate,Yes,1977,1000.0,424.0,180.0,0.0,Semiurban,N
LP001159,Male,No,1,Not Graduate,No,2011,1758.0,324.0,360.0,1.0,Semiurban,N
LP001160,Male,Yes,3+,Graduate,No,5937,0.0,189.0,360.0,1.0,Semiurban,Y
LP001161,Male,Yes,0,Graduate,No,6175,1009.0,600.0,360.0,1.0,Rural,N
LP001162,Male,Yes,1,Not Graduate,,6181,1000.0,595.0,360.0,,Semiurban,N
LP001163,,No,1,Graduate,,3816,1000.0,600.0,360.0,0.0,Rural,N
LP001164,Male,Yes,1,Graduate,No,4124,0.0,201.0,360.0,0.0,Rural,N
LP001165,Female,Yes,0,Graduate,No,5413,0.0,600.0,360.0,1.0,Semiurban,Y
LP001166,Male,No,1,Graduate,No,4682,4685.0,600.0,360.0,0.0,Semiurban,N
LP001167,,No,3+,Graduate,No,1500,0.0,49.0,360.0,1.0,Urban,N
LP001168,Male,,0,Graduate,No,3874,1544.0,600.0,360.0,1.0,Urban,Y
LP001169,Male,No,0,Graduate,No,2668,1000.0,371.0,300.0,1.0,Semiurban,Y
LP001170,Male,Yes,3+,Graduate,No,4940,1000.0,357.0,360.0,1.0,Urban,Y
LP001171,Male,No,0,Not Graduate,No,26666,0.0,600.0,360.0,1.0,Rural,Y
LP001172,Male,Yes,2,Graduate,No,5544,3114.0,600.0,360.0,1.0,Urban,Y
LP001173,Male,Yes,0,Graduate,No,3684,0.0,216.0,360.0,1.0,Semiurban,Y
LP001174,Male,No,0,Graduate,No,7731,0.0,380.0,360.0,1.0,Semiurban,Y
LP001175,Male,Yes,2,Not Graduate,No,5940,0.0,220.0,360.0,0.0,Semiurban,N
LP001176,Male,Yes,0,Graduate,No,5721,0.0,375.0,180.0,1.0,Semiurban,N
LP001177,Male,No,0,Graduate,No,6400,1000.0,600.0,360.0,,Rural,N
LP001178,Female,No,0,Not Graduate,No,15274,3151.0,600.0,360.0,1.0,Semiurban,Y
LP001179,Male,Yes,1,Not Graduate,No,2256,0.0,143.0,360.0,,Semiurban,N
LP001180,Male,No,0,Graduate,Yes,5908,1000.0,321.0,360.0,1.0,Urban,N
LP001181,Male,Yes,0,Not Graduate,No,2550,0.0,183.0,,1.0,Semiurban,N
LP001182,Female,Yes,3+,Graduate,No,6206,1811.0,600.0,360.0,1.0,Rural,N
LP001183,Female,Yes,0,Graduate,No,2562,1291.0,263.0,360.0,1.0,Semiurban,Y
LP001184,Male,Yes,1,Graduate,No,3461,1000.0,,360.0,1.0,Rural,N
LP001185,Male,No,0,Graduate,No,3725,0.0,327.0,360.0,0.0,Semiurban,N
LP001186,Female,Yes,2,Graduate,Yes,7986,5063.0,582.0,360.0,1.0,Urban,Y
LP001187,Male,Yes,0,Graduate,No,7716,0.0,600.0,360.0,1.0,Urban,N
LP001188,Male,Yes,3+,Graduate,No,2106,2366.0,375.0,180.0,0.0,Urban,N
LP001189,Male,No,0,Graduate,No,4596,0.0,544.0,360.0,,Semiurban,N
LP001190,,Yes,0,Graduate,No,2905,1000.0,,360.0,,Rural,N
LP001191,Female,Yes,0,Graduate,No,2089,2833.0,135.0,360.0,0.0,Urban,N
LP001192,Female,Yes,0,Graduate,No,3904,1000.0,173.0,360.0,1.0,Semiurban,Y
LP001193,Male,Yes,0,Graduate,No,3695,0.0,460.0,360.0,1.0,Semiurban,Y
LP001194,Male,Yes,0,Graduate,No,19073,1510.0,600.0,360.0,1.0,Semiurban,Y
LP001195,Male,No,2,Graduate,No,5766,0.0,281.0,360.0,1.0,Urban,N
LP001196,Male,No,0,Not Graduate,No,1945,1329.0,90.0,300.0,1.0,Urban,N
LP001197,Female,Yes,0,Graduate,,3168,0.0,80.0,360.0,1.0,Urban,Y
LP001198,Female,No,1,Graduate,No,8207,0.0,600.0,360.0,1.0,Urban,N
LP001199,Male,No,1,Graduate,Yes,15569,2300.0,600.0,360.0,1.0,Urban,Y
LP001200,Male,No,0,Graduate,No,1717,0.0,158.0,360.0,1.0,Urban,N
LP001201,Male,Yes,0,Graduate,Yes,1500,0.0,160.0,360.0,1.0,Semiurban,N
LP001202,Male,Yes,0,Not Graduate,No,13664,0.0,600.0,360.0,1.0,Urban,Y
LP001203,Female,Yes,1,Graduate,No,5618,0.0,122.0,360.0,,Rural,Y
LP001204,Male,Yes,1,Graduate,Yes,2641,1000.0,492.0,360.0,1.0,Urban,N
LP001205,Male,No,0,Graduate,,6128,1827.0,189.0,360.0,1.0,Semiurban,Y
LP001206,Male,No,2,Graduate,Yes,1500,0.0,208.0,360.0,1.0,Semiurban,N
LP001207,Male,No,2,Graduate,,4456,0.0,600.0,300.0,1.0,Urban,N
LP001208,Male,Yes,1,Graduate,No,5413,0.0,467.0,360.0,1.0,Rural,N
LP001209,Male,Yes,2,Graduate,Yes,7743,0.0,600.0,360.0,0.0,Urban,N
LP001210,Male,No,0,Graduate,No,2420,1000.0,321.0,360.0,1.0,Rural,Y
LP001211,Male,,0,Graduate,Yes,4681,2341.0,532.0,180.0,1.0,Rural,N
LP001212,,Yes,0,Not Graduate,No,2552,0.0,368.0,300.0,1.0,Semiurban,N
LP001213,Male,No,0,Graduate,No,5183,0.0,600.0,360.0,0.0,Semiurban,N
LP001214,Male,No,0,Graduate,No,2598,0.0,190.0,360.0,1.0,Semiurban,N
LP001215,Male,Yes,3+,Graduate,Yes,3481,1011.0,491.0,360.0,1.0,Semiurban,N
LP001216,Male,Yes,0,Graduate,No,2446,1284.0,569.0,360.0,1.0,Semiurban,N
LP001217,Male,Yes,0,Not Graduate,No,6572,0.0,600.0,360.0,1.0,Urban,N
LP001218,Male,Yes,0,Graduate,No,7443,0.0,600.0,360.0,1.0,Urban,N
LP001219,Female,Yes,3+,Graduate,No,3863,1737.0,494.0,360.0,1.0,Semiurban,Y
LP001220,Male,No,0,Not Graduate,No,4550,1207.0,360.0,360.0,1.0,Semiurban,N
LP001221,Male,Yes,0,Graduate,No,1864,0.0,299.0,360.0,1.0,Rural,N
LP001222,Male,Yes,0,Not Graduate,,3715,0.0,173.0,360.0,1.0,Urban,Y
LP001223,Male,Yes,0,Graduate,No,4315,0.0,454.0,36.0,1.0,Rural,N
LP001224,Male,Yes,3+,Graduate,No,21428,1098.0,,360.0,1.0,Urban,Y
LP001225,Male,No,3+,Graduate,No,2282,0.0,140.0,360.0,1.0,Semiurban,N
LP001226,Female,Yes,0,Graduate,,10705,0.0,600.0,360.0,0.0,Urban,N
LP001227,Male,Yes,3+,Not Graduate,No,8087,1449.0,600.0,180.0,0.0,Semiurban,N
LP001228,Female,No,1,Graduate,No,5262,0.0,158.0,360.0,1.0,Urban,Y
LP001229,Male,Yes,2,Graduate,No,12774,1000.0,600.0,360.0,1.0,Semiurban,Y
LP001230,Male,Yes,0,Graduate,No,5559,0.0,209.0,360.0,1.0,Rural,Y
LP001231,Male,Yes,0,Graduate,No,5616,0.0,244.0,360.0,1.0,Semiurban,Y
LP001232,Male,Yes,0,Graduate,Yes,4307,2367.0,536.0,360.0,1.0,Semiurban,N
LP001233,Male,Yes,1,Not Graduate,No,9266,0.0,600.0,360.0,0.0,Rural,N
LP001234,Male,Yes,,Graduate,No,8585,1890.0,583.0,360.0,1.0,Semiurban,Y
LP001235,Male,Yes,0,Graduate,No,3055,2060.0,346.0,360.0,1.0,Semiurban,Y
LP001236,Male,No,0,Graduate,No,2015,0.0,79.0,360.0,1.0,Urban,N
LP001237,Male,Yes,1,Graduate,No,3937,1000.0,332.0,360.0,1.0,Rural,Y
LP001238,Male,Yes,0,Graduate,No,2751,0.0,425.0,360.0,1.0,Semiurban,N
LP001239,Male,Yes,1,Graduate,No,4280,1841.0,600.0,360.0,1.0,Urban,Y
LP001240,Female,Yes,3+,Not Graduate,,9343,0.0,600.0,360.0,1.0,Urban,N
LP001241,Female,,0,Graduate,Yes,3379,1000.0,458.0,360.0,0.0,Rural,N
LP001242,Female,Yes,1,Graduate,,4334,0.0,600.0,360.0,1.0,Urban,N
LP001243,Male,No,0,Graduate,No,4604,0.0,113.0,360.0,0.0,Rural,N
LP001244,Male,Yes,2,Not Graduate,Yes,7398,1192.0,600.0,360.0,1.0,Urban,N
LP001245,Female,Yes,0,Graduate,No,1500,1000.0,,360.0,1.0,Rural,N
LP001246,Male,Yes,1,Graduate,No,3090,0.0,135.0,360.0,1.0,Semiurban,Y
LP001247,Female,No,2,Graduate,No,5048,0.0,220.0,360.0,1.0,Semiurban,N
LP001248,Female,Yes,3+,Graduate,No,9136,3027.0,600.0,180.0,0.0,Rural,N
LP001249,Female,Yes,1,Graduate,,3310,1000.0,404.0,360.0,,Semiurban,Y
LP001250,Male,Yes,0,Graduate,No,1500,0.0,29.0,360.0,1.0,Semiurban,Y
LP001251,Male,No,1,Graduate,No,6449,2109.0,491.0,360.0,1.0,Urban,Y
LP001252,Female,Yes,2,Graduate,No,3037,0.0,278.0,360.0,1.0,Urban,Y
LP001253,Male,No,1,Not Graduate,Yes,2178,1813.0,473.0,360.0,0.0,Urban,N
LP001254,,Yes,0,Not Graduate,No,3057,0.0,381.0,180.0,1.0,Semiurban,N
LP001255,Male,Yes,3+,Graduate,No,3980,0.0,600.0,360.0,1.0,Urban,N
LP001256,Female,Yes,1,Graduate,No,3093,1000.0,248.0,360.0,1.0,Urban,Y
LP001257,Male,Yes,1,Graduate,No,1500,0.0,157.0,360.0,0.0,Semiurban,N
LP001258,Male,Yes,0,Graduate,No,7617,1423.0,600.0,360.0,1.0,Semiurban,Y
LP001259,Male,Yes,1,Graduate,No,9556,0.0,600.0,180.0,1.0,Rural,N
LP001260,Male,No,0,Graduate,No,6574,0.0,287.0,360.0,1.0,Urban,Y
LP001261,Female,Yes,1,Graduate,No,2247,0.0,373.0,360.0,1.0,Urban,N
LP001262,Male,Yes,,Not Graduate,No,3940,3026.0,600.0,360.0,1.0,Rural,N
LP001263,Male,Yes,1,Graduate,No,4429,0.0,417.0,180.0,1.0,Urban,N
LP001264,Female,Yes,3+,Graduate,No,6369,1000.0,600.0,360.0,1.0,Rural,N
LP001265,Male,Yes,0,Not Graduate,No,6640,1168.0,420.0,,1.0,Rural,N
LP001266,Male,Yes,3+,Graduate,Yes,2862,1647.0,428.0,360.0,1.0,Rural,N
LP001267,Male,Yes,,Graduate,No,4671,0.0,561.0,360.0,1.0,Urban,Y
LP001268,Male,No,2,Graduate,,5851,0.0,531.0,360.0,1.0,Rural,N
LP001269,Male,No,2,Graduate,No,10651,0.0,600.0,360.0,0.0,Rural,N
LP001270,Female,Yes,0,Graduate,No,6786,0.0,600.0,360.0,0.0,Semiurban,N
LP001271,Female,Yes,1,Graduate,No,7139,0.0,535.0,360.0,1.0,Semiurban,Y
LP001272,Female,Yes,2,Graduate,No,4676,3181.0,600.0,360.0,1.0,Urban,Y
LP001273,Female,Yes,0,Not Graduate,No,10365,0.0,450.0,360.0,1.0,Urban,Y
LP001274,Male,Yes,0,Not Graduate,No,5686,0.0,439.0,360.0,1.0,Semiurban,N
LP001275,Male,Yes,1,Not Graduate,No,2652,0.0,192.0,12.0,,Semiurban,N
LP001276,Male,No,2,Graduate,No,10321,3074.0,600.0,360.0,1.0,Semiurban,Y
LP001277,Male,No,,Graduate,Yes,6759,0.0,600.0,360.0,1.0,Semiurban,N
LP001278,Male,Yes,2,Not Graduate,Yes,3408,2498.0,528.0,360.0,,Semiurban,N
LP001279,Male,Yes,0,Graduate,No,3335,0.0,465.0,180.0,1.0,Semiurban,N
LP001280,Female,Yes,2,Graduate,No,5313,1050.0,600.0,360.0,1.0,Rural,N
LP001281,Male,No,0,Graduate,No,5871,1807.0,483.0,360.0,1.0,Urban,Y
LP001282,Male,Yes,0,Graduate,Yes,5005,0.0,600.0,360.0,1.0,Semiurban,N
LP001283,Male,,0,Not Graduate,No,5360,0.0,300.0,480.0,1.0,Urban,N
LP001284,Male,No,0,Graduate,No,12332,0.0,600.0,360.0,1.0,Semiurban,Y
LP001285,Male,Yes,0,Graduate,Yes,8458,0.0,600.0,180.0,1.0,Rural,N
LP001286,Male,No,0,Graduate,Yes,4985,1000.0,389.0,480.0,1.0,Rural,N
LP001287,Male,Yes,1,Graduate,No,7822,1000.0,193.0,360.0,0.0,Urban,N
LP001288,Male,Yes,0,Not Graduate,,2393,1360.0,436.0,360.0,1.0,Rural,N
LP001289,Male,Yes,0,Graduate,No,5646,1780.0,600.0,360.0,1.0,Urban,Y
LP001290,Male,No,0,Graduate,No,13168,0.0,600.0,360.0,1.0,Semiurban,Y
LP001291,Male,No,0,Not Graduate,No,3901,0.0,600.0,180.0,1.0,Urban,N
